buyer,top_supplier,version,seller_nace4d,omega,num_spend,sum_buyer_tc,n_yr_tc,x_buyertotal,shock_buyertotal
5BAFFDA135AFD0B803F11E4D0F49D0D307B62414D2A1FAB160B1925D68153871,3BE59C35E1BFCEE14744A27D1026D2E8F5690AEFBA6276A6EFADA053A2D4F534,treat_2008,3511,0.000229158205560246,9542887.5,2170971582,2,0.00439567591723548,1.00730520541807e-06
5BC24025562E735BAE985E7C2E9424522DFBA7C4B6F1E95D0A245813A04B7771,DAEA45B1C32A96BEF3B14822D96C2FE56C613857921FE02B9603218C0CB7CEF2,treat_2008,2229,1.06124295585041e-06,2327.0400390625,355623251,2,6.54355426007424e-06,6.94430086472873e-12
5E365AF261C89FEEABD6BEA7EB480B286E511A11B8C67423E2C6B0807499BF78,1CA094B752178A00D0DAB81D2B57AF833D16221A5E9AC38167100BC586216614,treat_2008,1393,2.18514836381663e-08,2023.93002319336,2817462,2,0.000718352198962527,1.56970613220704e-11
5EA04403872CE1207FC98C6591DA97C2C123C00F5524C42E3A85A0EB094096D5,7EFE7AC47DF7A0E69E1E4909A7C14C4BEF034F82D4F05F3C3F42A2942791E0CA,treat_2008,2311,6.72193376993775e-05,36527.890625,10540193,2,0.00346558081289403,2.32954046986407e-07
5F608D5E19A0D18BBDE76FDFB16FE77FC6C529F73BCA43EB343B9E7A84A65230,AFCA27A1F1BB2F7C605C4B1753142D734EB685C1A44B33B33D43D3893BB18C10,treat_2008,2014,3.93079763820856e-05,131159536,2051265903,2,0.0639407771601808,2.51338255846458e-06
6128C0DFAFC56AC2414FBC610D2193F7900462FAC2670A5C54A57A9FCEB119EA,1CA094B752178A00D0DAB81D2B57AF833D16221A5E9AC38167100BC586216614,treat_2008,1393,2.18514836381663e-08,23507.2392578125,4690842,2,0.0050113048484286,1.09504445901301e-10
6371BA2FF54724755C5C1CEAFC819C6D6E837562856F99423DF37E607DDA7B0E,DAEA45B1C32A96BEF3B14822D96C2FE56C613857921FE02B9603218C0CB7CEF2,treat_2008,2229,1.06124295585041e-06,6978,26309988,2,0.000265222469884821,2.81465477898514e-10
648B6285AF072F95A47296A5F6B2ED0F033063B5034F78B51A7A8AAA82ABECE6,1CB37AB74478F9C217EFCFDA2843A640F506101BDE944EFD19E87241396C4A1C,treat_2008,1107,3.1407618166918e-07,1075294.6875,871170183,2,0.00123431071044818,3.87667594930937e-10
648B6285AF072F95A47296A5F6B2ED0F033063B5034F78B51A7A8AAA82ABECE6,82AD7E022AA1035FA624569E4235B7E60665602F69F48D196D6E577AB3B2F821,treat_2008,1105,3.86397618937294e-05,43627,871170183,2,5.00786193689092e-05,1.93502592838136e-09
648B6285AF072F95A47296A5F6B2ED0F033063B5034F78B51A7A8AAA82ABECE6,E30B927536F61331175A68BC7A08D889C65901DBE6824FE8ED84680AF71FAB48,treat_2008,1051,6.54164203332758e-06,2006906.8125,871170183,2,0.00230369088802939,1.50699211449268e-08
64FF6480ED3042FDEC231E805A8B5B69F0DB459D282E3E171AB5DB97AD799022,AFCA27A1F1BB2F7C605C4B1753142D734EB685C1A44B33B33D43D3893BB18C10,treat_2008,2014,3.93079763820856e-05,15250.8095703125,91310204,2,0.000167021963616602,6.56529540113095e-09
66AE3CA22B61AC34F1F122C81BC17944EC300A0A05DA75E1552721C6AFDECD55,3BE59C35E1BFCEE14744A27D1026D2E8F5690AEFBA6276A6EFADA053A2D4F534,treat_2008,3511,0.000229158205560246,563820,129626784,2,0.00434956405305866,9.96738293368274e-07
67233C6A7D3B28235EDAA30E0772AEE51FF2FF79B98D0407043E99CE64445F0E,3BE59C35E1BFCEE14744A27D1026D2E8F5690AEFBA6276A6EFADA053A2D4F534,treat_2008,3511,0.000229158205560246,134933.375,1430050163,2,9.43556935911485e-05,2.162238142774e-08
674CD030427E12F2FF7E05A9B61172EC4428AD97AA19296AF120B0B48F9F5A1C,3BE59C35E1BFCEE14744A27D1026D2E8F5690AEFBA6276A6EFADA053A2D4F534,treat_2008,3511,0.000229158205560246,18680,45992446,2,0.00040615365401527,9.30734425358763e-08
6854DA9859C37927F4019AACD32C75C31AD6F02AF47E932DF02F759931F0E951,3BE59C35E1BFCEE14744A27D1026D2E8F5690AEFBA6276A6EFADA053A2D4F534,treat_2008,3511,0.000229158205560246,3485805.375,153596555,2,0.0226945544123695,5.20064336512795e-06
68A2F4B84714EC1829E0AC28D29F204FDEBFF70F71F2A22FDE65461FF3ADDDFF,3BE59C35E1BFCEE14744A27D1026D2E8F5690AEFBA6276A6EFADA053A2D4F534,treat_2008,3511,0.000229158205560246,158091376,7179260165,2,0.0220205665161321,5.04619350825687e-06
6DF6FD750AA2D67C2FB15D06A63C0321D1BBE5A3AB2AF038C453EFD0BDD605CD,3BE59C35E1BFCEE14744A27D1026D2E8F5690AEFBA6276A6EFADA053A2D4F534,treat_2008,3511,0.000229158205560246,4415804,520360686,2,0.00848604462021176,1.94464675747191e-06
6DF6FD750AA2D67C2FB15D06A63C0321D1BBE5A3AB2AF038C453EFD0BDD605CD,DAEA45B1C32A96BEF3B14822D96C2FE56C613857921FE02B9603218C0CB7CEF2,treat_2008,2229,1.06124295585041e-06,13997.080078125,520360686,2,2.68988039540808e-05,2.85461662170694e-11
