interval,seller_nace4d,n_cells,mean_n_supp,p10_n_supp,p25_n_supp,median_n_supp,p75_n_supp,p90_n_supp,p99_n_supp,max_n_supp,share_eq_1,share_eq_2,share_3_to_5,share_6_to_10,share_ge_11,share_ge_2
interval_2011_12,2811,58,1.03448275862069,1,1,1,1,1,2,2,0.96551724137931,0.0344827586206897,0,0,0,0.0344827586206897
interval_2011_12,2410,57,1.40350877192982,1,1,1,2,2,4,4,0.719298245614035,0.192982456140351,0.087719298245614,0,0,0.280701754385965
interval_2011_12,2812,57,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2011_12,2443,55,1.05454545454545,1,1,1,1,1,2,2,0.945454545454546,0.0545454545454545,0,0,0,0.0545454545454545
interval_2011_12,2732,52,1.01923076923077,1,1,1,1,1,1.49,2,0.980769230769231,0.0192307692307692,0,0,0,0.0192307692307692
interval_2011_12,2013,52,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2011_12,1081,52,1.26923076923077,1,1,1,2,2,2,2,0.730769230769231,0.269230769230769,0,0,0,0.269230769230769
interval_2011_12,1051,51,2.05882352941176,1,1,1,2,5,6,6,0.549019607843137,0.215686274509804,0.156862745098039,0.0784313725490196,0,0.450980392156863
interval_2011_12,2222,50,1.1,1,1,1,1,1,2.51,3,0.92,0.06,0.02,0,0,0.08
interval_2011_12,1392,49,1.06122448979592,1,1,1,1,1,2,2,0.938775510204082,0.0612244897959184,0,0,0,0.0612244897959184
interval_2011_12,5223,49,1.40816326530612,1,1,1,2,3,3.52,4,0.73469387755102,0.142857142857143,0.122448979591837,0,0,0.26530612244898
interval_2011_12,2550,46,1.08695652173913,1,1,1,1,1,2.55,3,0.934782608695652,0.0434782608695652,0.0217391304347826,0,0,0.0652173913043478
interval_2011_12,1330,44,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2011_12,2363,43,1.13953488372093,1,1,1,1,2,2,2,0.86046511627907,0.13953488372093,0,0,0,0.13953488372093
interval_2011_12,1393,43,2.13953488372093,1,1,1,3,4.8,6.58,7,0.534883720930233,0.186046511627907,0.209302325581395,0.0697674418604651,0,0.465116279069768
interval_2011_12,1031,41,1.82926829268293,1,1,1,2,4,5,5,0.536585365853659,0.292682926829268,0.170731707317073,0,0,0.463414634146342
interval_2011_12,2444,38,1.18421052631579,1,1,1,1,2,3.26000000000001,4,0.868421052631579,0.105263157894737,0.0263157894736842,0,0,0.131578947368421
interval_2011_12,1082,36,1.13888888888889,1,1,1,1,2,2,2,0.861111111111111,0.138888888888889,0,0,0,0.138888888888889
interval_2011_12,2442,34,1.08823529411765,1,1,1,1,1,2.67,3,0.941176470588235,0.0294117647058824,0.0294117647058824,0,0,0.0588235294117647
interval_2011_12,2434,33,1.03030303030303,1,1,1,1,1,1.68,2,0.96969696969697,0.0303030303030303,0,0,0,0.0303030303030303
interval_2011_12,3822,32,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2011_12,4638,31,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2011_12,1610,30,1.13333333333333,1,1,1,1,2,2,2,0.866666666666667,0.133333333333333,0,0,0,0.133333333333333
interval_2011_12,1013,30,1.33333333333333,1,1,1,1,2.1,3,3,0.766666666666667,0.133333333333333,0.1,0,0,0.233333333333333
interval_2011_12,5210,28,1.53571428571429,1,1,1,2,3,3,3,0.607142857142857,0.25,0.142857142857143,0,0,0.392857142857143
interval_2011_12,2362,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2011_12,2319,27,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2011_12,1712,27,1.14814814814815,1,1,1,1,1.4,2.74,3,0.888888888888889,0.0740740740740741,0.037037037037037,0,0,0.111111111111111
interval_2011_12,1085,26,1.30769230769231,1,1,1,1,2,4,4,0.846153846153846,0.0769230769230769,0.0769230769230769,0,0,0.153846153846154
interval_2011_12,1039,26,1.23076923076923,1,1,1,1,2,2,2,0.769230769230769,0.230769230769231,0,0,0,0.230769230769231
interval_2011_12,2311,24,1.125,1,1,1,1,1.7,2,2,0.875,0.125,0,0,0,0.125
interval_2011_12,1722,23,1.04347826086957,1,1,1,1,1,1.78,2,0.956521739130435,0.0434782608695652,0,0,0,0.0434782608695652
interval_2011_12,2120,22,1.13636363636364,1,1,1,1,1.9,2,2,0.863636363636364,0.136363636363636,0,0,0,0.136363636363636
interval_2011_12,2320,22,1.22727272727273,1,1,1,1,2,2,2,0.772727272727273,0.227272727272727,0,0,0,0.227272727272727
interval_2011_12,1320,21,1.47619047619048,1,1,1,2,2,4.4,5,0.666666666666667,0.285714285714286,0.0476190476190476,0,0,0.333333333333333
interval_2011_12,2314,18,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2011_12,1089,17,1.05882352941176,1,1,1,1,1,1.84,2,0.941176470588235,0.0588235294117647,0,0,0,0.0588235294117647
interval_2011_12,2932,17,1.05882352941176,1,1,1,1,1,1.84,2,0.941176470588235,0.0588235294117647,0,0,0,0.0588235294117647
interval_2011_12,2521,17,1.29411764705882,1,1,1,2,2,2,2,0.705882352941177,0.294117647058824,0,0,0,0.294117647058824
