buyer,seller_nace4d,top_supplier,omega_top,bot_supplier,omega_bot,omega_gap,int_nace4d_spend,sum_buyer_tc,n_yr,nace4d_input_share,version,treat_year,topQ_nace4dshare,topQ_omegagap
CC65917C7CF2644290617174C31B7E8C05CA4EEDE602B3AA5F2FD2587CA1468C,2014,2A70DBCD110EDD6E2E83D454D79E47D9BA81845955CFE8E1E03BF1D0EA7BCBC5,3.90209640781755e-05,CC65917C7CF2644290617174C31B7E8C05CA4EEDE602B3AA5F2FD2587CA1468C,0,3.90209640781755e-05,3325326.63,288324220,2,0.011533289260264,treat_2017,2017,FALSE,FALSE
CC65917C7CF2644290617174C31B7E8C05CA4EEDE602B3AA5F2FD2587CA1468C,2016,8AD8CD6E2A5082CF7EE48D06DBC38617A85AA8D5CA2A7DAF9CAA2192C4E300C7,0.00032636629953529,9C8EB20FA52DF76154FE015473D15DCDE8EF3F6EB34E0168A4464DFB4B0E7BD0,5.63520835418841e-05,0.000270014215993406,61521,288324220,2,0.000213374374168081,treat_2017,2017,FALSE,TRUE
CCB5EA9562B416C6ED6C01741084ED901E8D2DB7C6696C385FC9D2118B26A43E,2222,BC0BF2E7511DBB53DBD56839C96E212762845418F6BCF4F0B57D20FEA25A2188,1.4360832054686e-05,613884E4DA96E6D9E3FEABBEE7F72A3229AD63E0B7C072487E6E046F49312232,0,1.4360832054686e-05,2639669.94,272032309,2,0.00970351628342794,treat_2017,2017,FALSE,FALSE
CCB5EA9562B416C6ED6C01741084ED901E8D2DB7C6696C385FC9D2118B26A43E,2229,DAEA45B1C32A96BEF3B14822D96C2FE56C613857921FE02B9603218C0CB7CEF2,7.40870498332187e-05,A867D7F1BC4AB6DD60078ED60C319E413BC789870B5BF7E1BEF246C6D203F512,0,7.40870498332187e-05,20153339.22,272032309,2,0.0740843589281154,treat_2017,2017,TRUE,FALSE
CD802969F6FDC1FE69F2A78E6151E83D7C29E6C8BBF3D80E9592FF356091885C,2351,B8FDF1A99C14812F711B9B01A2C27EC7B85C6A71A20AB98121F00747A42E5B58,0.000103038803811996,1EB11C8C03D563589A1E83AF2856341DABF421EDF816A205EC6A0E9C90EACF10,0,0.000103038803811996,1281257.29,22069711,2,0.0580550098730337,treat_2017,2017,TRUE,FALSE
CD802969F6FDC1FE69F2A78E6151E83D7C29E6C8BBF3D80E9592FF356091885C,2399,6099E01D67DA0DDEF00B89A26CDFD4791E17F3D7238DE15C6352E3CF73DF0103,0.00048128122792842,CD802969F6FDC1FE69F2A78E6151E83D7C29E6C8BBF3D80E9592FF356091885C,0,0.00048128122792842,51774.77,22069711,2,0.00234596501965975,treat_2017,2017,FALSE,TRUE
CD802969F6FDC1FE69F2A78E6151E83D7C29E6C8BBF3D80E9592FF356091885C,4211,BEA704951F78F6206B131BE9FACD666E66E5939910623E8580ACB79F4696442C,0.000136258727169874,ADFF18A56167B77F87D8DF548BEF8C5F4AD4A774572E8E8D206E19659C2B9246,3.13552464943978e-05,0.000104903480675476,137012.61,22069711,2,0.00620817418044124,treat_2017,2017,FALSE,FALSE
CD81AC115D02B761693835DD8A3C1769DEE7F9AB64F08E3FD720AE423A47A7EB,2016,9C8EB20FA52DF76154FE015473D15DCDE8EF3F6EB34E0168A4464DFB4B0E7BD0,5.63520835418841e-05,686552E789EE4A5DAC8ED479B023351424550F567382BF8F85E906967A43ADD7,0,5.63520835418841e-05,3307759.14,80208299,2,0.0412396121254236,treat_2017,2017,TRUE,FALSE
CD862FFAF195F06877AE4815D81FDFFCB454147B4CAB0C53BD6FD33F3D619DF1,2014,CD862FFAF195F06877AE4815D81FDFFCB454147B4CAB0C53BD6FD33F3D619DF1,6.86980714825666e-05,B3A20E2273DC7AE07DEB357A124E3CFE5365D910D94F11E9DC63BA451FE92EE3,0,6.86980714825666e-05,991269.31,425732475,2,0.0023283854725905,treat_2017,2017,FALSE,FALSE
CDB2071E463BADC97EA21812D5D2156B3D0E6D05E9D107EFFBD8EE26C363C39E,1920,1C6EC1F8E25B016DB87AC7C6CDC9FD74E36F38CFD1673CB9480E1F9ED238F425,8.80218638642514e-06,125EA6B782DCCA982F2692424AE91CBA74A6BC3DB2028CDF4B30877325B3BAF1,0,8.80218638642514e-06,138300684.07,714419859,2,0.193584602006423,treat_2017,2017,TRUE,FALSE
CDB2071E463BADC97EA21812D5D2156B3D0E6D05E9D107EFFBD8EE26C363C39E,2012,1061796C42F184760E3BAF45DC443875C42284348C2B209B70F02ED964EDAC7E,0.00016263646894484,F7837270BB2F707B494CA668AEC3CF7970A1876EC3C3DE61BEDBDB75568E8C66,0,0.00016263646894484,4316958.61,714419859,2,0.00604260723665018,treat_2017,2017,FALSE,FALSE
CDB2071E463BADC97EA21812D5D2156B3D0E6D05E9D107EFFBD8EE26C363C39E,2014,381129D2BACBFFE88AA47CF43AAB8B0205C90F8E3B8F55424F7421B3BB765AE7,3.70529576586508e-06,7BD8DA430EC6A64C5278A5087EDDDCFD54EE849C1B904B1F1BFF9FE3FB8E5553,2.02112860527006e-06,1.68416716059502e-06,4315135.25,714419859,2,0.00604005501196461,treat_2017,2017,FALSE,FALSE
CDB2071E463BADC97EA21812D5D2156B3D0E6D05E9D107EFFBD8EE26C363C39E,2016,B0930165FBBB06212FA618CDACF48BCD90D9F97D6D59E4B61B2F5354E62EF329,3.14645743739694e-05,3921B26E7F671AA6E812893191D678D60C0E4D8F623394755AB6CCEEFDB4647D,0,3.14645743739694e-05,2426754.61,714419859,2,0.00339681852264972,treat_2017,2017,FALSE,FALSE
CF4DB84513AB8C68511709D7B79224804195F0EC9A517C786AE4CECB82E699CA,1041,93E844FE1AC70363ACC25C875A81A3C2EE7ED2364EA24705F5D877FBB5C4CEE8,1.06163783434385e-05,D8A676D0FF327303C5AC7008A1874119AE5C02F43E14F0C1FC7DBBC753A89D1E,0,1.06163783434385e-05,434523.99,103090671,2,0.00421496907319577,treat_2017,2017,FALSE,FALSE
D192DDE8580A23934849226460762419C2A29C026445388AEC31D2F6CFE1DEE5,1105,82AD7E022AA1035FA624569E4235B7E60665602F69F48D196D6E577AB3B2F821,3.55285119461142e-05,D192DDE8580A23934849226460762419C2A29C026445388AEC31D2F6CFE1DEE5,0,3.55285119461142e-05,1876243.67,33415769,2,0.0561484510501614,treat_2017,2017,TRUE,FALSE
