cut,version,treat_year,year,supplier_role,mean_share,n_cells,ci_lo,ci_hi
Top quartile by NACE4d input share,treat_2013,2013,2013,bot,0.336979562842111,15,0.145547375555693,0.555555487156275
Top quartile by NACE4d input share,treat_2013,2013,2014,bot,0.323697723337098,15,0.136802027796749,0.521679921571991
Top quartile by NACE4d input share,treat_2013,2013,2015,bot,0.400311473424907,14,0.180069102584434,0.633901277832787
Top quartile by NACE4d input share,treat_2013,2013,2016,bot,0.454551325336869,14,0.217231124717705,0.686761000500747
Top quartile by NACE4d input share,treat_2013,2013,2017,bot,0.390968684541751,14,0.155696648697956,0.619718697782495
Top quartile by NACE4d input share,treat_2013,2013,2018,bot,0.452517020595389,14,0.230970890032525,0.681225905349131
Top quartile by NACE4d input share,treat_2013,2013,2019,bot,0.513909407848248,13,0.257532015156637,0.749645318960702
Top quartile by NACE4d input share,treat_2013,2013,2020,bot,0.392300299925581,13,0.172934508354445,0.621601915540597
Top quartile by NACE4d input share,treat_2013,2013,2021,bot,0.50114815599065,13,0.27668123983203,0.750249025234352
Top quartile by NACE4d input share,treat_2013,2013,2022,bot,0.492135946717261,13,0.270208877886526,0.721012322865833
Top quartile by NACE4d input share,treat_2013,2013,2005,top,0.586201373445329,13,0.311196110300834,0.835731002651808
Top quartile by NACE4d input share,treat_2013,2013,2006,top,0.500858861307088,12,0.249312030245397,0.751445055893725
Top quartile by NACE4d input share,treat_2013,2013,2007,top,0.50003628183039,12,0.250035460670141,0.827037200581405
Top quartile by NACE4d input share,treat_2013,2013,2008,top,0.528925761861786,15,0.266666666666667,0.786815743620132
Top quartile by NACE4d input share,treat_2013,2013,2009,top,0.691985566015436,15,0.461821800738917,0.886881914537826
Top quartile by NACE4d input share,treat_2013,2013,2010,top,0.685934962312203,15,0.458235744139678,0.880819712488319
Top quartile by NACE4d input share,treat_2013,2013,2011,top,0.682234668447597,15,0.456517089867122,0.883437533322426
Top quartile by NACE4d input share,treat_2013,2013,2012,top,0.552259027753734,14,0.288804785989951,0.791328907003046
Top quartile by NACE4d input share,treat_2013,2013,2013,top,0.589121634819359,15,0.363006338741827,0.798912333365374
Top quartile by NACE4d input share,treat_2013,2013,2014,top,0.606585596640012,15,0.361697826004975,0.810629846756622
Top quartile by NACE4d input share,treat_2013,2013,2015,top,0.538082552553458,14,0.297149561829711,0.780031201709307
Top quartile by NACE4d input share,treat_2013,2013,2016,top,0.518789447034505,14,0.281788320041653,0.762840163803644
Top quartile by NACE4d input share,treat_2013,2013,2017,top,0.525910302526299,14,0.282979608847683,0.764340889429916
Top quartile by NACE4d input share,treat_2013,2013,2018,top,0.527404409744683,14,0.298570134669157,0.765113561174513
Top quartile by NACE4d input share,treat_2013,2013,2019,top,0.462665843202474,13,0.23514326554141,0.69266939281668
Top quartile by NACE4d input share,treat_2013,2013,2020,top,0.568662043165476,13,0.3509340335905,0.783122451134381
Top quartile by NACE4d input share,treat_2013,2013,2021,top,0.494295712558184,13,0.256019043631137,0.736128569738634
Top quartile by NACE4d input share,treat_2013,2013,2022,top,0.471476845309416,13,0.259352724861787,0.698370053161365
Top quartile by NACE4d input share,treat_2017,2017,2005,bot,0.229965389287757,88,0.149393554802765,0.315351780911361
Top quartile by NACE4d input share,treat_2017,2017,2006,bot,0.270838697831104,93,0.189612103309368,0.357945947230545
Top quartile by NACE4d input share,treat_2017,2017,2007,bot,0.238034281553652,102,0.170153445581124,0.316154355145782
Top quartile by NACE4d input share,treat_2017,2017,2008,bot,0.254819591546565,114,0.188384491331499,0.328913604886623
Top quartile by NACE4d input share,treat_2017,2017,2009,bot,0.248865647498635,127,0.182911567692547,0.319655776950272
Top quartile by NACE4d input share,treat_2017,2017,2010,bot,0.275303425278913,122,0.206803443734934,0.349458618057113
Top quartile by NACE4d input share,treat_2017,2017,2011,bot,0.272749726125429,130,0.210412208448071,0.342051274314356
Top quartile by NACE4d input share,treat_2017,2017,2012,bot,0.284648607110239,129,0.222816463719524,0.34968464494128
Top quartile by NACE4d input share,treat_2017,2017,2013,bot,0.34482513465161,130,0.274217555755848,0.416035281474791
Top quartile by NACE4d input share,treat_2017,2017,2014,bot,0.387079137033194,138,0.325424031213472,0.453292115821046
Top quartile by NACE4d input share,treat_2017,2017,2015,bot,0.361755583060137,144,0.301412544665999,0.424728422555881
Top quartile by NACE4d input share,treat_2017,2017,2016,bot,0.323540217527419,142,0.265507637946743,0.389411005260566
Top quartile by NACE4d input share,treat_2017,2017,2017,bot,0.343179647250413,138,0.281313240668176,0.402457003239739
Top quartile by NACE4d input share,treat_2017,2017,2018,bot,0.365559617632774,129,0.305652618115917,0.432371861218813
Top quartile by NACE4d input share,treat_2017,2017,2019,bot,0.384910984174554,125,0.314955882426951,0.454657705611347
Top quartile by NACE4d input share,treat_2017,2017,2020,bot,0.379633171619751,119,0.307692979628328,0.458756096649424
Top quartile by NACE4d input share,treat_2017,2017,2021,bot,0.383527681275898,120,0.310639891317234,0.450121197828408
Top quartile by NACE4d input share,treat_2017,2017,2022,bot,0.359697631676143,110,0.285420244373124,0.432120215646761
Top quartile by NACE4d input share,treat_2017,2017,2005,top,0.395206926499627,88,0.308874831099842,0.493017837566654
Top quartile by NACE4d input share,treat_2017,2017,2006,top,0.291701370640552,93,0.209964916169675,0.376327414548235
Top quartile by NACE4d input share,treat_2017,2017,2007,top,0.365351594443461,102,0.282779062357836,0.449198674560047
Top quartile by NACE4d input share,treat_2017,2017,2008,top,0.388919987604316,114,0.312233731769476,0.470509009394808
Top quartile by NACE4d input share,treat_2017,2017,2009,top,0.448602409041142,127,0.366002742633892,0.526299020290014
Top quartile by NACE4d input share,treat_2017,2017,2010,top,0.369828652334305,122,0.298148691778332,0.451991519622801
Top quartile by NACE4d input share,treat_2017,2017,2011,top,0.443222960459488,130,0.365514110122706,0.525900676937885
Top quartile by NACE4d input share,treat_2017,2017,2012,top,0.443314793449235,129,0.370589363517986,0.515621925363976
Top quartile by NACE4d input share,treat_2017,2017,2013,top,0.425206708783855,130,0.346648140534867,0.502597270205125
Top quartile by NACE4d input share,treat_2017,2017,2014,top,0.408734614812078,138,0.346271282921425,0.473723889175286
Top quartile by NACE4d input share,treat_2017,2017,2015,top,0.454852889990633,144,0.385874989751154,0.519502937300917
Top quartile by NACE4d input share,treat_2017,2017,2016,top,0.486513705861781,142,0.419557733178217,0.559460503780313
Top quartile by NACE4d input share,treat_2017,2017,2017,top,0.448902702868684,138,0.382875732532171,0.518873914209071
