buyer,seller_nace4d,n_suppliers,total_sales_in_interval,interval
27BD6B403A6000BF78DBC9A09E4644A0F5B4CC32DA11FE82AD6E99FAF0DF44A5,2561,1,123599.8984375,interval_2006_07
FE7F1FDAE6419435FC663F8046303F488A3507F4B00202EFB3A6E63F92060235,2561,1,39892.94140625,interval_2006_07
93B61565E6A0F172D1AFF97F1B3EEA820D4D63F78B96802EEC8AF457E4DCA6F8,2561,1,1550.81994628906,interval_2006_07
D93D048614AB76EBCE1991421192A781C98B1F8F673F6EBB1A455D14656F5112,2561,2,609409.27746582,interval_2006_07
2067DC776D1DEE682E338D5BDF2FAFF656A199BA8C65B700D0772CD9404A28CF,3821,2,26517.9901123047,interval_2006_07
F8440DBECA94FB7303FA6FE1455C1B9FD10ED5F0862A23D4340B51C9675B51F0,3821,1,21816.599609375,interval_2006_07
D4D2E1C06944A9D89BF42D277B9FA290B4D68A873FB82943562B733E4FDD2FB9,3821,3,196190.884765625,interval_2006_07
66C013B0FDECA844D8EBCFC09AB1F98C0BE517A528CF194C9A941B9EC68034CB,3821,1,38547.19921875,interval_2006_07
E59F3C68EBE515BF1D63F2F3849BF72F083EC1573D48A557002A09FCF8DD50A8,3821,1,211329.515625,interval_2006_07
DD11BBDF4246296DDD062EF6F69648979ADC0FDEEC979F2C97D994C47AA2E7D0,3821,1,735.849975585938,interval_2006_07
79B63230F71E27B0B009FAEE092B4649C8CEF6C842DF1E9548C74ADA7F1A7DEB,3821,2,3069.78002929688,interval_2006_07
30F55EC464B5993FE3A30E9CC91F7CA4A0C167800E1705292A9664D61C8A4E5C,3821,5,105738.73425862,interval_2006_07
ACE760F21978532FF4A0D092AAFB21D78C2A46BF08165E4661620FE7CA075ABC,3821,1,256.880004882813,interval_2006_07
A70004E22644FF322A46B64B8A9D1EB6204EE87137FF5162404D09278B943385,3821,1,14133.419921875,interval_2006_07
08F7A16CA1C30C8F331884FE604FD5254634C75A4BF0369702750BD0E0B3CFDC,3821,2,504864.300048828,interval_2006_07
3BE59C35E1BFCEE14744A27D1026D2E8F5690AEFBA6276A6EFADA053A2D4F534,3821,3,16640362.9893799,interval_2006_07
81A56728305B23CED4271E85C1C3CCF6F2680AF5231CABD61B3434FC40D6896D,3821,4,194168.991821289,interval_2006_07
4524AE294E3F589B6277B91EB5653AF92515FF93E332A34EA73E82C6BA4A0508,3821,1,1369.5,interval_2006_07
3B3D26D1AD2A94C9E3B0078C25903DCE4C435811C7FFF2A0FCF62B4A3212F6B8,3821,1,2545.5,interval_2006_07
2F9D746354D14259BCD9B053D66496AA89FABD932D980B063623692C27C2C04A,3821,1,805,interval_2006_07
F67F71F147E1CB5AEFA4E81D4CF30FD406FD11D5180E30DE707A48959D8C18A2,3030,2,48436.5595703125,interval_2006_07
E3D6876E144EB51BB101512836F30C9C0A9A37AC7ED59C469CA7E5B6853CAB86,3030,1,231034.0859375,interval_2006_07
0C4C488CD190D5E697A30E727520F6467C086D4BD7C03772666F33D5B447E127,3030,3,168211,interval_2006_07
90DF335452ADF162F0FF9414711D7109740068548B3DBD2368C703D1DFE15125,3030,1,185830.921875,interval_2006_07
C2440D20454644429C9E954191766BD21C6FDE2A52F9446D49483B37F66AD119,3030,5,77008.3098144531,interval_2006_07
AB9BC93AC715C1570746009D53868D43617253BF75BEEA5E90D1B6C1747E40DB,3030,1,1225,interval_2006_07
EFEF2006408C9BF676E67DFD79CA4AC8F4E2236396773A1B07910F455A630AEE,3511,3,3056918.34130859,interval_2006_07
07397C569A6F3EE3D320F358AC14FDDA7968E82875635449E3BD95D1834FC0E5,3511,1,221372.625,interval_2006_07
