"h","gamma","se","n","t_stat","lo95","hi95","R","R_se","n_R","gamma_lo68","gamma_hi68","gamma_lo90","gamma_hi90","gamma_lo95","gamma_hi95","R_lo68","R_hi68","R_lo90","R_hi90","R_lo95","R_hi95","beta","beta_se","beta_lo68","beta_hi68","beta_lo90","beta_hi90","beta_lo95","beta_hi95"
20,0.629651848184926,1.36984368998525,7772,0.459652333173653,-2.05524178418617,3.31454548055602,0.117064359228105,0.14374346176205,58,-0.740191841800325,1.99949553817018,-1.62374102184081,2.88304471821067,-2.05524178418617,3.31454548055602,-0.0266791025339451,0.260807820990154,-0.119393635370467,0.353522353826677,-0.164672825825513,0.398801544281722,0.553450162937165,1.2156022835425,-0.662152120605337,1.76905244647967,-1.44621559349025,2.55311591936458,-1.82913031280614,2.93603063868047
21,1.01585498362278,1.58154664480613,7638,0.64231743461939,-2.08397644019724,4.1156864074428,0.163916736734138,0.13725041013164,57,-0.565691661183355,2.59740162842891,-1.58578924708331,3.61749921432887,-2.08397644019724,4.1156864074428,0.0266663266024977,0.301167146865778,-0.0618601879324102,0.389693661400686,-0.105094067123877,0.432927540592153,0.892914247496077,1.4160446007398,-0.523130353243722,2.30895884823588,-1.43647912072089,3.22230761571305,-1.88253316995393,3.66836166494608
22,1.75450334464159,1.67873214090669,7504,1.04513597011014,-1.53581165153552,5.0448183408187,0.103342476508684,0.135353671460608,56,0.0757712037348988,3.43323548554828,-1.00701102714992,4.51601771643309,-1.53581165153552,5.0448183408187,-0.0320111949519239,0.238696147969292,-0.119314313044016,0.325999266061384,-0.161950719554107,0.368635672571475,1.54216995434039,1.54728877236697,-0.00511881802658154,3.08945872670736,-1.00312007620328,4.08745998488405,-1.49051603949887,4.57485594817964
23,1.27701890934744,1.17959441197558,7370,1.08259152161352,-1.03498613812469,3.58902395681958,0.0633211434856851,0.131959250956094,55,0.0974244973718663,2.45661332132302,-0.663413898352381,3.21745171704727,-1.03498613812469,3.58902395681958,-0.0686381074704092,0.195280394441779,-0.15375182433709,0.28039411130846,-0.19531898838826,0.32196127535963,1.12247160949269,1.09081886708988,0.0316527424028121,2.21329047658257,-0.671925426870162,2.91686864585555,-1.01553337000347,3.26047658898886
24,0.324234048573492,0.591721215231134,7236,0.547950690675916,-0.83553953327953,1.48400763042651,0.0214780692660197,0.123994308303771,54,-0.267487166657642,0.915955263804626,-0.649147350481723,1.29761544762871,-0.83553953327953,1.48400763042651,-0.102516239037751,0.14547237756979,-0.182492567893683,0.225448706425722,-0.221550775009371,0.26450691354141,0.284994616517147,0.527179656763257,-0.24218504024611,0.812174273280404,-0.58221591885841,1.1522051518927,-0.748277510738836,1.31826674377313
25,0.0879185665983089,0.392077497763971,7102,0.224237726214105,-0.680553329019074,0.856390462215692,0.00244887140660843,0.11846599902317,53,-0.304158931165662,0.47999606436228,-0.557048917223423,0.732886050420041,-0.680553329019074,0.856390462215692,-0.116017127616562,0.120914870429778,-0.192427696986506,0.197325439799723,-0.229744486678805,0.234642229492022,0.0772784915176572,0.345416442535527,-0.268137951017869,0.422694934053184,-0.490931556453284,0.645488539488599,-0.599737735851975,0.754294718887289
26,0.0830646212503668,0.453962280299759,6968,0.182976923094839,-0.80670144813716,0.972830690637894,-0.0174062719317121,0.125475355816099,52,-0.370897659049392,0.537026901550126,-0.663703329842736,0.82983257234347,-0.80670144813716,0.972830690637894,-0.142881627747811,0.108069083884387,-0.223813232249194,0.18900068838577,-0.263337969331266,0.228525425467841,0.0730119800296807,0.399631334210402,-0.326619354180721,0.472643314240083,-0.584381564746431,0.730405524805792,-0.710265435022708,0.856289395082069
27,0.153270039410996,0.335575204380852,6834,0.456738273299378,-0.504457361175474,0.810997439997466,0.0461419474021976,0.12288291219992,51,-0.182305164969856,0.488845243791848,-0.398751171795505,0.705291250617498,-0.504457361175474,0.810997439997466,-0.0767409647977221,0.169024859602117,-0.15600044316667,0.248284337971065,-0.194708560509645,0.28699245531404,0.13472100261427,0.297754606925763,-0.163033604311493,0.432475609540034,-0.35508532577861,0.624527331007151,-0.448878026960226,0.718320032188766
28,0.444538845037808,0.443386386127395,6700,1.00259922033348,-0.424498471771887,1.3135761618475,0.0947743656869378,0.12274919317831,50,0.00115245891041249,0.887925231165203,-0.284831760141757,1.17390945021737,-0.424498471771887,1.3135761618475,-0.0279748274913723,0.217523558865248,-0.107148057091382,0.296696788465258,-0.14581405294255,0.335362784316425,0.390739893684574,0.407191379660745,-0.0164514859761715,0.797931273345319,-0.279089925857352,1.0605697132265,-0.407355210450487,1.18883499781964
29,0.158289387949472,0.626898076432048,6566,0.25249620935251,-1.07043084185734,1.38700961775628,0.0990375625864193,0.121302335198313,49,-0.468608688482576,0.785187464381519,-0.872957947781246,1.18953672368019,-1.07043084185734,1.38700961775628,-0.0222647726118938,0.220339897784732,-0.100504778814806,0.298579903987644,-0.138715014402274,0.336790139575113,0.139132899878553,0.552628548846539,-0.413495648967986,0.691761448725092,-0.769941062974004,1.04820686273111,-0.944019055860664,1.22228485561777
30,0.0224800016604577,0.662983617652632,6432,0.0339073260061095,-1.2769678889387,1.32192789225962,0.0917851906919811,0.12282403333893,48,-0.640503615992174,0.68546361931309,-1.06812804937812,1.11308805269904,-1.2769678889387,1.32192789225962,-0.0310388426469488,0.214609224030911,-0.110260344150559,0.293830725534521,-0.148949914652321,0.332520296036284,0.0197594283534192,0.582778593728729,-0.56301916537531,0.602538022082148,-0.93891135833034,0.978430215037179,-1.12248661535489,1.16200547206173
31,-0.15123107871659,0.4099200111715,6298,-0.368928265503288,-0.95467430061273,0.65221214317955,0.106808179518567,0.130021853517488,47,-0.56115108988809,0.25868893245491,-0.825549497093708,0.523087339660527,-0.95467430061273,0.65221214317955,-0.0232136739989217,0.236830033036055,-0.107077769517702,0.320694128554835,-0.148034653375711,0.361651012412844,-0.132928800889151,0.362539050563788,-0.495467851452939,0.229610249674637,-0.729305539066582,0.46344793728828,-0.843505339994175,0.577647738215873
32,-0.590036705593537,0.477523696611495,6164,-1.23561764532406,-1.52598315095207,0.345909739764994,0.161805522907382,0.117214466127255,46,-1.06756040220503,-0.112513008982042,-1.37556318651945,0.195489775332373,-1.52598315095207,0.345909739764994,0.0445910567801275,0.279019989034637,-0.0310122738719517,0.354623319686716,-0.0679348307020369,0.391545876516801,-0.518629321570327,0.447989909203808,-0.966619230774135,-0.0706394123665198,-1.25557272221059,0.218314079069936,-1.39668954360979,0.359430900469136
33,-0.182301469109735,0.592855996671602,6030,-0.307497048411769,-1.34429922258608,0.979696284366605,0.123135357405286,0.112299600523333,45,-0.775157465781338,0.410554527561867,-1.15754958363452,0.792946645415051,-1.34429922258608,0.979696284366605,0.0108357568819534,0.235434957928619,-0.0615974854555963,0.307868200266169,-0.0969718596204462,0.343242574431019,-0.160238992505641,0.523348407431934,-0.683587399937576,0.363109414926293,-1.02114712273117,0.70066913771989,-1.18600187107223,0.86552388606095
34,-0.373166570990831,0.503982453884516,5896,-0.740435640396997,-1.36097218060448,0.61463903862282,0.174389242967539,0.100957646003092,44,-0.877149024875347,0.130815882893685,-1.20221770763086,0.455884565649197,-1.36097218060448,0.61463903862282,0.0734315969644463,0.275346888970631,0.00831391529245165,0.340464570642626,-0.0234877431985224,0.3722662291336,-0.328005230371248,0.453924165573112,-0.78192939594436,0.125918935201865,-1.07471048273902,0.418700021996522,-1.21769659489455,0.561686134152052
35,-0.702122844649905,0.554949076103136,5762,-1.26520229492087,-1.78982303381205,0.385577344512241,0.180235354355325,0.100613437405547,43,-1.25707192075304,-0.147173768546769,-1.61501407483956,0.210768385539754,-1.78982303381205,0.385577344512241,0.0796219169497779,0.280848791760872,0.0147262498232001,0.345744458887449,-0.0169669829595471,0.377437691670197,-0.617150579155083,0.52216558815623,-1.13931616731131,-0.0949849909988536,-1.47611297167208,0.241811813361915,-1.64059513194129,0.406293973631127
36,-0.95322597178942,1.079778939718,5628,-0.882797336312535,-3.06959269363669,1.16314075005785,0.164960589621065,0.0819271276910468,42,-2.03300491150742,0.126552967928576,-2.72946232762552,0.823010384046684,-3.06959269363669,1.16314075005785,0.0830334619300182,0.246887717312112,0.030190464569293,0.299730714672837,0.00438341934661329,0.325537759895517,-0.83786471988223,0.982236707800011,-1.82010142768224,0.144371987917781,-2.45364410421325,0.777914664448789,-2.76304866717025,1.08731922740579
