hs6,bec4,bec_description,is_capital
293293,22,Processed,FALSE
293294,22,Processed,FALSE
293295,22,Processed,FALSE
293299,22,Processed,FALSE
293311,22,Processed,FALSE
293319,22,Processed,FALSE
293321,22,Processed,FALSE
293329,22,Processed,FALSE
293331,22,Processed,FALSE
293332,22,Processed,FALSE
293333,22,Processed,FALSE
293339,22,Processed,FALSE
293341,22,Processed,FALSE
293349,22,Processed,FALSE
293352,22,Processed,FALSE
293353,22,Processed,FALSE
293354,22,Processed,FALSE
293355,22,Processed,FALSE
293359,22,Processed,FALSE
293361,22,Processed,FALSE
293369,22,Processed,FALSE
293371,22,Processed,FALSE
293372,22,Processed,FALSE
293379,22,Processed,FALSE
293391,22,Processed,FALSE
293399,22,Processed,FALSE
293410,22,Processed,FALSE
293420,22,Processed,FALSE
293430,22,Processed,FALSE
293491,22,Processed,FALSE
293499,22,Processed,FALSE
293500,22,Processed,FALSE
293621,22,Processed,FALSE
293622,22,Processed,FALSE
293623,22,Processed,FALSE
293624,22,Processed,FALSE
293625,22,Processed,FALSE
293626,22,Processed,FALSE
293627,22,Processed,FALSE
293628,22,Processed,FALSE
293629,22,Processed,FALSE
293690,22,Processed,FALSE
293711,22,Processed,FALSE
293712,22,Processed,FALSE
293719,22,Processed,FALSE
293721,22,Processed,FALSE
293722,22,Processed,FALSE
293723,22,Processed,FALSE
293729,22,Processed,FALSE
293731,22,Processed,FALSE
293739,22,Processed,FALSE
293740,22,Processed,FALSE
293750,22,Processed,FALSE
293790,22,Processed,FALSE
293810,22,Processed,FALSE
293890,22,Processed,FALSE
293911,22,Processed,FALSE
293919,22,Processed,FALSE
293920,22,Processed,FALSE
293930,22,Processed,FALSE
293941,22,Processed,FALSE
293942,22,Processed,FALSE
293943,22,Processed,FALSE
293949,22,Processed,FALSE
293951,22,Processed,FALSE
293959,22,Processed,FALSE
293961,22,Processed,FALSE
293962,22,Processed,FALSE
293963,22,Processed,FALSE
293969,22,Processed,FALSE
293991,22,Processed,FALSE
293999,22,Processed,FALSE
294000,22,Processed,FALSE
294110,22,Processed,FALSE
294120,22,Processed,FALSE
294130,22,Processed,FALSE
294140,22,Processed,FALSE
294150,22,Processed,FALSE
294190,22,Processed,FALSE
294200,22,Processed,FALSE
300120,22,Processed,FALSE
300190,22,Processed,FALSE
300210,22,Processed,FALSE
300220,22,Processed,FALSE
300230,22,Processed,FALSE
300290,22,Processed,FALSE
300610,22,Processed,FALSE
300620,22,Processed,FALSE
300630,22,Processed,FALSE
300640,22,Processed,FALSE
300650,22,Processed,FALSE
300660,22,Processed,FALSE
300670,22,Processed,FALSE
300692,22,Processed,FALSE
310210,22,Processed,FALSE
310221,22,Processed,FALSE
310229,22,Processed,FALSE
310230,22,Processed,FALSE
310240,22,Processed,FALSE
310260,22,Processed,FALSE
310280,22,Processed,FALSE
310290,22,Processed,FALSE
310310,22,Processed,FALSE
310390,22,Processed,FALSE
310420,22,Processed,FALSE
310430,22,Processed,FALSE
310490,22,Processed,FALSE
310510,22,Processed,FALSE
310520,22,Processed,FALSE
310530,22,Processed,FALSE
310540,22,Processed,FALSE
310551,22,Processed,FALSE
310559,22,Processed,FALSE
310560,22,Processed,FALSE
310590,22,Processed,FALSE
320110,22,Processed,FALSE
320120,22,Processed,FALSE
320190,22,Processed,FALSE
320210,22,Processed,FALSE
320290,22,Processed,FALSE
320300,22,Processed,FALSE
320411,22,Processed,FALSE
320412,22,Processed,FALSE
320413,22,Processed,FALSE
320414,22,Processed,FALSE
320415,22,Processed,FALSE
320416,22,Processed,FALSE
320417,22,Processed,FALSE
320419,22,Processed,FALSE
320420,22,Processed,FALSE
320490,22,Processed,FALSE
320500,22,Processed,FALSE
320611,22,Processed,FALSE
320619,22,Processed,FALSE
320620,22,Processed,FALSE
320641,22,Processed,FALSE
320642,22,Processed,FALSE
320649,22,Processed,FALSE
320650,22,Processed,FALSE
320710,22,Processed,FALSE
320720,22,Processed,FALSE
320730,22,Processed,FALSE
320740,22,Processed,FALSE
320810,22,Processed,FALSE
320820,22,Processed,FALSE
320890,22,Processed,FALSE
320910,22,Processed,FALSE
320990,22,Processed,FALSE
321000,22,Processed,FALSE
321100,22,Processed,FALSE
321210,22,Processed,FALSE
321290,22,Processed,FALSE
321410,22,Processed,FALSE
321490,22,Processed,FALSE
321511,22,Processed,FALSE
321519,22,Processed,FALSE
321590,22,Processed,FALSE
330112,22,Processed,FALSE
330113,22,Processed,FALSE
330119,22,Processed,FALSE
330124,22,Processed,FALSE
330125,22,Processed,FALSE
330129,22,Processed,FALSE
330130,22,Processed,FALSE
330190,22,Processed,FALSE
330210,22,Processed,FALSE
330290,22,Processed,FALSE
330620,22,Processed,FALSE
340420,22,Processed,FALSE
340490,22,Processed,FALSE
340700,22,Processed,FALSE
350110,22,Processed,FALSE
350190,22,Processed,FALSE
350220,22,Processed,FALSE
350290,22,Processed,FALSE
350300,22,Processed,FALSE
350400,22,Processed,FALSE
350510,22,Processed,FALSE
350520,22,Processed,FALSE
350610,22,Processed,FALSE
350691,22,Processed,FALSE
350699,22,Processed,FALSE
350710,22,Processed,FALSE
350790,22,Processed,FALSE
360100,22,Processed,FALSE
360200,22,Processed,FALSE
360300,22,Processed,FALSE
360410,22,Processed,FALSE
360490,22,Processed,FALSE
370110,22,Processed,FALSE
370120,22,Processed,FALSE
370130,22,Processed,FALSE
370191,22,Processed,FALSE
370199,22,Processed,FALSE
