interval,seller_nace4d,n_cells,mean_n_supp,p10_n_supp,p25_n_supp,median_n_supp,p75_n_supp,p90_n_supp,p99_n_supp,max_n_supp,share_eq_1,share_eq_2,share_3_to_5,share_6_to_10,share_ge_11,share_ge_2
interval_2006_07,2410,2573,1.22464049747377,1,1,1,1,2,4,10,0.846094053633891,0.11348620287602,0.0357559269335406,0.00466381655654878,0,0.15390594636611
interval_2006_07,1089,2555,1.28884540117417,1,1,1,1,2,5,13,0.83013698630137,0.105283757338552,0.0583170254403131,0.00547945205479452,0.000782778864970646,0.16986301369863
interval_2006_07,1393,2525,2.1429702970297,1,1,1,2,5,14,27,0.672871287128713,0.118019801980198,0.128712871287129,0.0558415841584159,0.0245544554455446,0.327128712871287
interval_2006_07,3320,2456,1.25040716612378,1,1,1,1,2,4,12,0.841612377850163,0.107084690553746,0.0464169381107492,0.00366449511400651,0.0012214983713355,0.158387622149837
interval_2006_07,1051,2402,1.73938384679434,1,1,1,1,3,11.9899999999998,30,0.753122398001665,0.108243130724396,0.0928393005828476,0.0333055786844296,0.0124895920066611,0.246877601998335
interval_2006_07,2910,2385,1.19916142557652,1,1,1,1,2,3,5,0.840251572327044,0.127882599580713,0.0318658280922432,0,0,0.159748427672956
interval_2006_07,2451,2366,1.25401521555368,1,1,1,1,2,4,8,0.8229078613694,0.130177514792899,0.0431107354184277,0.00380388841927303,0,0.1770921386306
interval_2006_07,2811,2350,1.14212765957447,1,1,1,1,2,3,5,0.888936170212766,0.0868085106382979,0.0242553191489362,0,0,0.111063829787234
interval_2006_07,2894,2205,1.4140589569161,1,1,1,1,2,6,15,0.785034013605442,0.123809523809524,0.0789115646258503,0.0108843537414966,0.00136054421768707,0.214965986394558
interval_2006_07,2014,2144,1.21082089552239,1,1,1,1,2,5,10,0.884328358208955,0.0732276119402985,0.0359141791044776,0.00652985074626866,0,0.115671641791045
interval_2006_07,1039,2107,1.57380161366872,1,1,1,2,3,8,14,0.731846226862838,0.141433317513052,0.105837683910774,0.0156620787850024,0.00522069292833413,0.268153773137162
interval_2006_07,2399,2090,1.25693779904306,1,1,1,1,2,4,7,0.804784688995215,0.148803827751196,0.045933014354067,0.000478468899521531,0,0.195215311004785
interval_2006_07,2351,2088,1.18438697318008,1,1,1,1,2,3,3,0.846264367816092,0.123084291187739,0.0306513409961686,0,0,0.153735632183908
interval_2006_07,1072,2063,1.72127968977218,1,1,1,2,3,13,32,0.731459040232671,0.157537566650509,0.0683470673776054,0.0276296655356277,0.015026660203587,0.268540959767329
interval_2006_07,2311,1704,1.20892018779343,1,1,1,1,2,4.97000000000003,7,0.87206572769953,0.0833333333333333,0.0416666666666667,0.00293427230046948,0,0.127934272300469
interval_2006_07,2442,1607,1.16303671437461,1,1,1,1,2,3,5,0.879900435594275,0.0871188550093342,0.0329807093963908,0,0,0.120099564405725
interval_2006_07,3822,1552,1.12177835051546,1,1,1,1,1,3,6,0.913659793814433,0.0663659793814433,0.0180412371134021,0.00193298969072165,0,0.086340206185567
interval_2006_07,3103,1512,1.54365079365079,1,1,1,2,3,5,7,0.69973544973545,0.157407407407407,0.133597883597884,0.00925925925925926,0,0.30026455026455
interval_2006_07,2015,1424,1.20154494382022,1,1,1,1,2,3,7,0.846910112359551,0.118679775280899,0.0330056179775281,0.00140449438202247,0,0.153089887640449
interval_2006_07,5223,1325,1.41660377358491,1,1,1,1,2,7,10,0.827169811320755,0.0807547169811321,0.0709433962264151,0.0211320754716981,0,0.172830188679245
interval_2006_07,2332,1300,2.42384615384615,1,1,1,3,6.10000000000014,12,14,0.651538461538462,0.0884615384615385,0.121538461538462,0.117692307692308,0.0207692307692308,0.348461538461538
interval_2006_07,2365,1215,1.16460905349794,1,1,1,1,2,3,4,0.85761316872428,0.120987654320988,0.0213991769547325,0,0,0.14238683127572
interval_2006_07,1520,1170,1.26068376068376,1,1,1,1,2,5,7,0.856410256410256,0.0777777777777778,0.0615384615384615,0.00427350427350427,0,0.143589743589744
interval_2006_07,2020,1168,1.05222602739726,1,1,1,1,1,2,3,0.952054794520548,0.0436643835616438,0.00428082191780822,0,0,0.0479452054794521
